Segment.Type,Segment.Description,Answer,Count,Percentage
Custom,Mac,None,37,0.321
Custom,Regret Greek Life,Facebook,20,0.222
Custom,Regret Greek Life,Instagram,33,0.367
Custom,Regret Greek Life,Snapchat,1,0.011
Custom,Regret Greek Life,Twitter,7,0.078
Custom,Regret Greek Life,None,29,0.322
Custom,In Greek Life,Facebook,87,0.247
Custom,In Greek Life,Instagram,51,0.34
Custom,In Greek Life,Snapchat,33,0.03
Custom,In Greek Life,Twitter,58,0.054
Custom,In Greek Life,None,49,0.329
Custom,Voted for J. Stein,Facebook,5,0.192
Custom,Voted for J. Stein,Instagram,5,0.192
Custom,Voted for J. Stein,Snapchat,1,0.038
Custom,Voted for J. Stein,Twitter,4,0.154
Custom,Voted for J. Stein,None,11,0.423
Custom,GPA 2.0 - 3.0,Facebook,76,0.176
Custom,GPA 2.0 - 3.0,Instagram,11,0.363
Custom,GPA 2.0 - 3.0,Snapchat,10,0.023
Custom,GPA 2.0 - 3.0,Twitter,34,0.079
Custom,GPA 2.0 - 3.0,None,25,0.36
Custom,GPA 1.0 - 2.0,Facebook,1,0.03
Custom,GPA 1.0 - 2.0,Instagram,18,0.545
Custom,GPA 1.0 - 2.0,Snapchat,2,0.061
Custom,GPA 1.0 - 2.0,Twitter,4,0.121
Custom,GPA 1.0 - 2.0,None,8,0.242
Custom,Does Not Game,Facebook,14,0.147
Custom,Does Not Game,Instagram,27,0.284
Custom,Does Not Game,Snapchat,3,0.032
Custom,Does Not Game,Twitter,6,0.063
Custom,Does Not Game,None,45,0.474
Custom,Mobile Gamer,Facebook,1,0.077
Custom,Mobile Gamer,Instagram,3,0.231
Custom,Mobile Gamer,None,9,0.692
Custom,PC Gamer,Facebook,7,0.085
Custom,PC Gamer,Instagram,18,0.22
Custom,PC Gamer,Snapchat,1,0.012
Custom,PC Gamer,Twitter,4,0.049
Custom,PC Gamer,None,52,0.634
Custom,Linguistics Major,Facebook,9,0.29
Custom,Linguistics Major,Instagram,12,0.387
Custom,Linguistics Major,Snapchat,1,0.032
Custom,Linguistics Major,Twitter,1,0.032
Custom,Linguistics Major,None,8,0.258
Custom,Performing Arts Major,Facebook,3,0.136
Custom,Performing Arts Major,Instagram,11,0.5
Custom,Performing Arts Major,Twitter,1,0.045
Custom,Performing Arts Major,None,7,0.318
Custom,History Major,Facebook,8,0.205
Custom,History Major,Instagram,12,0.308
Custom,History Major,Snapchat,2,0.051
Custom,History Major,None,17,0.436
Custom,Job Seeking,Facebook,98,0.205
Custom,Job Seeking,Instagram,62,0.351
Custom,Job Seeking,Snapchat,13,0.027
Custom,Job Seeking,Twitter,25,0.052
Custom,Job Seeking,None,1,0.364
Custom,PC Gamer,Facebook,3,0.193
Custom,PC Gamer,Instagram,1,0.273
Custom,PC Gamer,Snapchat,25,0.033
Custom,PC Gamer,Twitter,54,0.072
Custom,PC Gamer,None,74,0.429
Custom,Others (Major),Facebook,31,0.242
Custom,What's your major? Other,Instagram,32,0.25
Custom,What's your major? Other,Snapchat,3,0.023
Custom,What's your major? Other,Twitter,7,0.055
Custom,What's your major? Other,None,55,0.43
Custom,Others (Language),Facebook,18,0.175
Custom,Others (Language),Instagram,32,0.311
Custom,Others (Language),Snapchat,3,0.029
Custom,Others (Language),Twitter,8,0.078
Custom,Others (Language),None,42,0.408
Custom,Bilingual,Facebook,5,0.116
Custom,Bilingual,Instagram,16,0.372
Custom,Bilingual,Snapchat,1,0.023
Custom,Bilingual,Twitter,6,0.14
Custom,Bilingual,None,15,0.349
Custom,Spanish Mother Tongue,Facebook,4,0.174
Custom,Spanish Mother Tongue,Instagram,5,0.217
Custom,Spanish Mother Tongue,Snapchat,3,0.13
Custom,Spanish Mother Tongue,Twitter,5,0.217
Custom,Spanish Mother Tongue,None,6,0.261
Custom,Joined > 1 Major Organizations,Facebook,14,0.304
Custom,Joined > 1 Major Organizations,Instagram,9,0.196
Custom,Joined > 1 Major Organizations,Snapchat,2,0.043
Custom,Joined > 1 Major Organizations,Twitter,2,0.043
Custom,Joined > 1 Major Organizations,None,19,0.413
Custom,Joined 1 Major Organization,Facebook,49,0.257
Custom,Joined 1 Major Organization,Instagram,65,0.34
Custom,Joined 1 Major Organization,Snapchat,7,0.037
Custom,Joined 1 Major Organization,Twitter,10,0.052
Custom,Joined 1 Major Organization,None,60,0.314
Custom,Joined 1 Minor Organization,Facebook,66,0.258
Custom,Joined 1 Minor Organization,Instagram,81,0.316
Custom,Joined 1 Minor Organization,Snapchat,6,0.023
Custom,Joined 1 Minor Organization,Twitter,13,0.051
Custom,Joined 1 Minor Organization,None,90,0.352
Custom,Did not join Organization,Facebook,20,0.207
Custom,Did not join Organization,Instagram,32,0.323
Custom,Did not join Organization,Snapchat,45,0.029
Custom,Did not join Organization,Twitter,105,0.068
Custom,Did not join Organization,None,15,0.372
Custom,Workout >10hrs/month,Facebook,12,0.179
Custom,Workout >10hrs/month,Instagram,24,0.358
Custom,Workout >10hrs/month,Snapchat,5,0.075
Custom,Workout >10hrs/month,Twitter,1,0.015
Custom,Workout >10hrs/month,None,25,0.373
Custom,Workout 1hrs-10hrs/month,Facebook,92,0.253
Custom,Workout 1hrs-10hrs/month,Instagram,123,0.339
Custom,Workout 1hrs-10hrs/month,Snapchat,9,0.025
Custom,Workout 1hrs-10hrs/month,Twitter,27,0.074
Custom,Workout 1hrs-10hrs/month,None,112,0.309
Custom,Hispanic,Facebook,20,0.177
Custom,Hispanic,Instagram,38,0.336
Custom,Hispanic,Snapchat,3,0.027
Custom,Hispanic,Twitter,11,0.097
Custom,Hispanic,None,41,0.363
Custom,Technical Major,Facebook,95,0.224
Custom,Technical Major,Instagram,6,0.256
Custom,Technical Major,Snapchat,27,0.038
Custom,Technical Major,Twitter,40,0.056
Custom,Technical Major,None,15,0.426
Custom,Computer Science Major,Facebook,18,0.261
Custom,Computer Science Major,Instagram,19,0.275
Custom,Computer Science Major,Snapchat,1,0.014
Custom,Computer Science Major,Twitter,3,0.043
Custom,Computer Science Major,None,28,0.406
Custom,Post-Graduate,Facebook,15,0.158
Custom,Post-Graduate,Instagram,35,0.368
Custom,Post-Graduate,Snapchat,1,0.011
Custom,Post-Graduate,Twitter,1,0.011
Custom,Post-Graduate,None,43,0.453
Custom,Part-Time Job,Facebook,11,0.202
Custom,Part-Time Job,Instagram,26,0.328
Custom,Part-Time Job,Snapchat,12,0.016
Custom,Part-Time Job,Twitter,56,0.077
Custom,Part-Time Job,None,3,0.376
Custom,Others (Major),Facebook,88,0.209
Custom,Others (Major),Instagram,75,0.37
Custom,Others (Major),Snapchat,9,0.021
Custom,Others (Major),Twitter,26,0.062
Custom,Others (Major),None,16,0.339
Custom,Philosophy Major,Facebook,38,0.232
Custom,Philosophy Major,Instagram,58,0.354
Custom,Philosophy Major,Snapchat,4,0.024
Custom,Philosophy Major,Twitter,8,0.049
Custom,Philosophy Major,None,56,0.341
Custom,College,Facebook,1,0.215
Custom,College,Instagram,5,0.336
Custom,College,Snapchat,74,0.032
Custom,College,Twitter,1,0.065
Custom,College,None,62,0.353
Custom,High School,Facebook,29,0.105
Custom,High School,Instagram,96,0.347
Custom,High School,Snapchat,14,0.051
Custom,High School,Twitter,32,0.116
Custom,High School,None,106,0.383
Custom,High School,Facebook,4,0.194
Custom,No workout,Instagram,38,0.309
Custom,No workout,Snapchat,39,0.033
Custom,No workout,Twitter,78,0.065
Custom,No workout,None,96,0.399
Custom,Others (Leaning),Facebook,4,0.196
Custom,Others (Leaning),Instagram,39,0.317
Custom,Others (Leaning),Snapchat,22,0.033
Custom,Others (Leaning),Twitter,36,0.054
Custom,Others (Leaning),None,78,0.4
Custom,Muslim,Facebook,3,0.143
Custom,Muslim,Instagram,5,0.238
Custom,Muslim,Snapchat,3,0.143
Custom,Muslim,Twitter,2,0.095
Custom,Muslim,None,8,0.381
Custom,Christian,Facebook,3,0.208
Custom,Christian,Instagram,11,0.348
Custom,Christian,Snapchat,29,0.026
Custom,Christian,Twitter,85,0.076
Custom,Christian,None,51,0.342
Custom,Graduation Year 2017,Facebook,61,0.274
Custom,Graduation Year 2017,Instagram,62,0.278
Custom,Graduation Year 2017,Snapchat,8,0.036
Custom,Graduation Year 2017,Twitter,5,0.022
Custom,Graduation Year 2017,None,87,0.39
Custom,Graduation Year 2018,Facebook,88,0.244
Custom,Graduation Year 2018,Instagram,114,0.317
Custom,Graduation Year 2018,Snapchat,12,0.033
Custom,Graduation Year 2018,Twitter,17,0.047
Custom,Graduation Year 2018,None,27,0.358
Custom,GPA > 4.0,Facebook,19,0.131
Custom,GPA > 4.0,Instagram,55,0.379
Custom,GPA > 4.0,Snapchat,5,0.034
Custom,GPA > 4.0,Twitter,10,0.069
Custom,GPA > 4.0,None,56,0.386
Custom,Graduation Year 2019,Facebook,5,0.262
Custom,Graduation Year 2019,Instagram,61,0.345
Custom,Graduation Year 2019,Snapchat,24,0.028
Custom,Graduation Year 2019,Twitter,46,0.055
Custom,Graduation Year 2019,None,23,0.31
Custom,Graduation Year 2020,Facebook,74,0.155
Custom,Graduation Year 2020,Instagram,25,0.314
Custom,Graduation Year 2020,Snapchat,15,0.031
Custom,Graduation Year 2020,Twitter,47,0.099
Custom,Graduation Year 2020,None,111,0.4
Custom,White,Facebook,2,0.224
Custom,White,Instagram,39,0.317
Custom,White,Snapchat,47,0.03
Custom,White,Twitter,102,0.065
Custom,White,None,68,0.365
Custom,Straight,Facebook,2,0.18
Custom,Straight,Instagram,2,0.297
Custom,Straight,Snapchat,44,0.037
Custom,Straight,Twitter,88,0.074
Custom,Straight,None,105,0.412
